"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1835756","cc9b80c13652ac9639a7e057e3210b945cfac187fe62245f08bf62431594aab574808d959409a17476460b68c5b8fe89db77ffc1b20551e394a4f593d3982807","2024-06-05T15:42:00.000","2","DRIVER",,"1748680",,"SUBARU","OUTBACK","IL","2018","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"Y","Y",,,,,,,,,,"Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835420","b77a1e0bdcba2c37c615c8a90b1791a61fa17f6c706ccfcd040937844d5a36ba4deee2ed3e0bcf09e1238f1dac50b302036215b3729dd215745a030a5010d750","2024-06-05T15:40:00.000","1","DRIVER",,"1748353",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","IL",,"UNKNOWN","OTHER","OTHER","SE","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y","Y",,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835421","b77a1e0bdcba2c37c615c8a90b1791a61fa17f6c706ccfcd040937844d5a36ba4deee2ed3e0bcf09e1238f1dac50b302036215b3729dd215745a030a5010d750","2024-06-05T15:40:00.000","2","DRIVER",,"1748365",,"FORD","OTHER (EXPLAIN IN NARRATIVE)","IL",,"UNKNOWN","OTHER","POLICE","SE","STRAIGHT AHEAD",,,"1",,,,,,,"Y","Y",,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835565","b00be100adbae3656fcdf94b02f3bfac074c1310f593d09c60374cbbc140320362516f7a5245c03d121ce97c09a007005400fe6f3c12e4760081d3c9f834927b","2024-06-05T15:30:00.000","1","DRIVER",,"1748493",,"DODGE","CARAVAN","IL","2019","UNKNOWN","VAN/MINI-VAN","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835566","b00be100adbae3656fcdf94b02f3bfac074c1310f593d09c60374cbbc140320362516f7a5245c03d121ce97c09a007005400fe6f3c12e4760081d3c9f834927b","2024-06-05T15:30:00.000","2","DRIVER","2","1748503",,"TOYOTA","CAMRY","IL","1999","NONE","PASSENGER","PERSONAL","W","SLOW/STOP IN TRAFFIC",,,"3",,,,,,,,,,"Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835579","f72d765348afc6ae975e74270e854451ba3a771cc10fe3a9d1abae8d83ce64fb5789616a0657378c0ac2e2405dd0a59efa8ebe8beb51355a38f3e8241575b75a","2024-06-05T15:30:00.000","1","DRIVER","1","1748517",,"TOYOTA","CAMRY","IL","2019","NONE","PASSENGER","RIDESHARE SERVICE","E","STRAIGHT AHEAD",,,"2",,,,,,,,,,,,,,,"Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835580","f72d765348afc6ae975e74270e854451ba3a771cc10fe3a9d1abae8d83ce64fb5789616a0657378c0ac2e2405dd0a59efa8ebe8beb51355a38f3e8241575b75a","2024-06-05T15:30:00.000","2","DRIVER",,"1748512",,"CHEVROLET","EQUINOX","IL","2015","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","SLOW/STOP IN TRAFFIC",,,"1",,,,,"Y",,,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835376","58bbe2c1bbfe12d8574aaec212b675ab9ab0dd106d457b365af57ca87c276a0067e769e753e14eeaf7cbc9be84a34b265bbb5b5ea5fb5268993e53d0d75344b9","2024-06-05T15:25:00.000","1","DRIVER",,"1748312",,"TOYOTA","CAMRY","IL","2009","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,"Y","Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835377","58bbe2c1bbfe12d8574aaec212b675ab9ab0dd106d457b365af57ca87c276a0067e769e753e14eeaf7cbc9be84a34b265bbb5b5ea5fb5268993e53d0d75344b9","2024-06-05T15:25:00.000","2","DRIVER","1","1748329",,"CHEVROLET","TRAVERSE","IL","2017","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"2",,,,,"Y","Y","Y","Y",,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835438","50ebec32c64dec9023fc393113b54035cbf2b62b650e9bfd141f3bf2877114e91084c7ecfa2a7b69058bde66e8e28c6fd022dc9f68dd75128df85c88c1964360","2024-06-05T15:22:00.000","1","DRIVER",,"1748366",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","XX",,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","N","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
